"시도별","성별",2024.11,2024.12,2025.01,2025.02,2025.03,2025.04
"계","계",656,1115,1083,940,918,854
"계","남자",362,507,526,512,516,507
"계","여자",294,608,557,428,402,347
"서울특별시","계",146,190,225,251,245,211
"서울특별시","남자",69,93,108,121,121,112
"서울특별시","여자",76,97,117,130,124,99
"부산광역시","계",36,75,85,54,49,38
"부산광역시","남자",17,32,36,27,23,15
"부산광역시","여자",19,43,49,27,26,22
"대구광역시","계",37,44,49,46,35,47
"대구광역시","남자",22,20,24,32,24,31
"대구광역시","여자",14,23,25,14,11,17
"인천광역시","계",54,78,65,66,59,57
"인천광역시","남자",32,41,37,38,33,32
"인천광역시","여자",22,37,29,28,26,25
"광주광역시","계",22,42,32,27,25,28
"광주광역시","남자",14,18,16,16,13,17
"광주광역시","여자",8,24,16,11,11,12
"대전광역시","계",23,35,33,28,27,23
"대전광역시","남자",14,16,15,14,16,14
"대전광역시","여자",9,20,18,14,10,8
"울산광역시","계",16,26,18,13,14,14
"울산광역시","남자",10,11,7,6,8,7
"울산광역시","여자",6,15,11,7,6,7
"세종특별자치시","계",4,4,6,7,7,4
"세종특별자치시","남자",1,1,2,3,2,1
"세종특별자치시","여자",3,3,4,4,4,3
"경기도","계",166,214,233,203,230,226
"경기도","남자",95,114,126,119,145,149
"경기도","여자",71,99,106,85,85,77
"강원도","계",11,58,51,21,22,17
"강원도","남자",7,25,24,13,15,10
"강원도","여자",4,33,28,7,7,7
"충청북도","계",18,30,32,25,21,20
"충청북도","남자",10,13,13,10,8,8
"충청북도","여자",8,17,18,15,13,12
"충청남도","계",27,37,51,47,47,39
"충청남도","남자",17,18,28,31,29,27
"충청남도","여자",9,19,23,16,17,13
"전라북도","계",16,71,46,25,27,27
"전라북도","남자",8,23,21,14,13,14
"전라북도","여자",8,49,25,11,14,13
"전라남도","계",25,60,52,33,24,21
"전라남도","남자",13,22,19,14,12,13
"전라남도","여자",12,38,33,19,11,8
"경상북도","계",20,59,50,46,41,40
"경상북도","남자",12,24,25,27,26,31
"경상북도","여자",7,36,25,19,14,9
"경상남도","계",30,74,46,38,39,34
"경상남도","남자",15,27,23,21,20,21
"경상남도","여자",15,47,24,17,18,13
"제주도","계",7,18,11,9,9,10
"제주도","남자",4,9,5,6,6,6
"제주도","여자",3,9,6,4,4,4
