"시도별","성별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"계","계",924,863,826,808,939,976,1009,1023,1073,1063,1108,1037,833,787,823
"계","남자",580,536,509,500,550,572,594,607,630,627,624,576,447,434,452
"계","여자",343,327,317,308,389,404,415,416,443,437,484,461,385,353,371
"서울특별시","계",250,245,226,210,240,226,226,244,254,233,241,257,181,146,164
"서울특별시","남자",164,155,139,125,136,129,126,139,143,133,122,136,98,72,90
"서울특별시","여자",86,90,87,85,104,97,100,104,112,100,119,121,83,74,74
"부산광역시","계",60,61,67,67,67,71,69,81,71,65,72,58,51,55,52
"부산광역시","남자",40,40,45,44,44,42,42,44,44,36,41,33,29,27,25
"부산광역시","여자",20,21,22,23,22,29,26,37,28,29,30,25,23,28,26
"대구광역시","계",49,45,41,41,49,45,54,52,56,47,48,47,37,39,43
"대구광역시","남자",29,31,26,26,26,26,32,30,34,28,27,26,18,22,24
"대구광역시","여자",20,14,15,15,23,19,22,22,22,19,21,21,19,18,19
"인천광역시","계",71,69,68,63,72,79,78,75,70,72,74,66,56,54,57
"인천광역시","남자",42,41,40,39,39,48,48,50,40,41,41,39,31,30,31
"인천광역시","여자",28,27,28,24,33,31,30,25,30,31,33,27,25,24,26
"광주광역시","계",25,22,19,21,21,22,23,22,30,29,30,28,22,20,24
"광주광역시","남자",15,14,12,14,13,12,14,14,18,16,17,15,12,11,14
"광주광역시","여자",10,8,7,7,8,10,9,8,12,13,13,13,11,9,10
"대전광역시","계",26,27,28,23,27,27,26,27,34,34,36,27,19,23,25
"대전광역시","남자",15,13,16,14,16,17,15,16,20,21,20,14,9,13,14
"대전광역시","여자",12,14,12,9,10,10,11,11,14,13,15,12,10,10,11
"울산광역시","계",19,15,15,12,16,17,23,21,28,25,25,21,19,20,22
"울산광역시","남자",13,10,8,8,10,10,17,15,18,16,15,12,11,12,13
"울산광역시","여자",6,5,7,4,5,7,6,7,9,9,10,9,8,9,9
"세종특별자치시","계",-,-,-,-,-,-,-,3,4,5,5,4,4,4,4
"세종특별자치시","남자",-,-,-,-,-,-,-,2,2,2,3,2,2,2,1
"세종특별자치시","여자",-,-,-,-,-,-,-,1,2,2,2,2,2,3,3
"경기도","계",230,202,199,183,216,261,264,269,268,274,285,272,211,206,206
"경기도","남자",144,125,124,113,127,153,150,161,160,167,169,150,110,128,121
"경기도","여자",86,78,74,70,89,108,114,108,109,108,116,122,102,78,84
"강원도","계",18,16,18,17,23,25,22,21,24,30,33,30,27,24,24
"강원도","남자",12,9,10,9,13,15,12,11,13,16,16,15,13,11,12
"강원도","여자",6,6,8,8,10,10,10,11,10,14,16,15,14,13,12
"충청북도","계",17,19,16,16,25,22,23,20,22,28,29,23,23,22,22
"충청북도","남자",10,10,10,10,14,13,12,10,11,17,18,14,14,12,13
"충청북도","여자",7,9,5,6,11,10,11,9,11,10,12,9,9,10,9
"충청남도","계",31,26,26,32,40,43,40,33,38,35,42,28,29,33,38
"충청남도","남자",20,16,15,21,23,25,23,20,21,19,23,17,17,18,20
"충청남도","여자",11,10,11,12,17,18,17,14,16,16,19,11,12,16,18
"전라북도","계",19,21,18,18,23,16,20,24,26,26,24,21,24,25,26
"전라북도","남자",13,13,12,11,14,8,13,15,17,17,14,11,14,14,13
"전라북도","여자",7,7,6,7,9,8,7,9,9,9,10,10,10,11,13
"전라남도","계",20,19,15,21,28,25,30,31,28,26,24,24,23,23,28
"전라남도","남자",11,12,9,13,18,17,22,19,17,15,13,13,12,10,14
"전라남도","여자",9,7,7,7,10,8,8,13,11,11,11,10,11,12,14
"경상북도","계",39,36,36,45,43,45,47,41,61,58,60,47,37,39,38
"경상북도","남자",23,23,23,27,26,28,27,23,36,38,36,30,21,23,21
"경상북도","여자",17,13,14,18,18,17,20,18,26,21,24,17,17,16,17
"경상남도","계",45,36,31,35,43,46,59,52,54,69,72,73,59,45,41
"경상남도","남자",28,21,17,23,27,26,37,35,34,41,43,43,32,26,20
"경상남도","여자",17,15,13,13,16,20,21,17,21,28,29,30,27,19,21
"제주도","계",5,5,5,6,7,7,8,7,7,8,10,12,9,8,10
"제주도","남자",3,3,3,3,3,4,5,4,4,5,5,6,5,4,5
"제주도","여자",3,2,2,2,3,2,3,3,4,4,4,7,4,4,5
